ncbi,uniprot,protein.protein_id,protein.name,domain,domains.domains_id,length,genus,gene,gene_begin,gene_end,cluster,species,superkingdom,kingdom,phylum,score,nbdomain
5O7V_A,,31645,Crystal structure of the 5F-tryptophan RSL lectin in complex with Lewis x tetrasaccharide,PropLec6A_RSL_AAL,72,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.396,2
6F37_A,,31636,Fusion protein of RSL and trimeric coiled coil,PropLec6A_RSL_AAL,87,114,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.47,2
6F7W_A,,31650,Crystal structure of dimethylated RSL - cucurbit,PropLec6A_RSL_AAL,88,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.468,2
6GXR_A,,6612,Crystal structure of BP39L lectin from Burkholderia pseudomallei at 1.7 A resolution,PropLec7C_BPL_CVL,90,370,Burkholderia,,0,0,,Burkholderia pseudomallei,Bacteria,None,Proteobacteria,0.736,7
6GXS_A,,9441,Crystal structure of CV39L lectin from Chromobacterium violaceum at 1.8 A resolution,PropLec7C_BPL_CVL,91,376,Chromobacterium,,0,0,,Chromobacterium violaceum ATCC 12472,Bacteria,None,Proteobacteria,0.605,7
6S99_A,,31635,Dimethylated fusion protein of RSL and trimeric coiled coil in complex with cucurbit,PropLec6A_RSL_AAL,96,114,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.468,2
6STH_A,,31647,Highly cationic RSL-R8 in complex with sulfonato-calix,PropLec6A_RSL_AAL,97,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.471,2
6STZ_A,,31641,Crystal structure of dimethylated RSLex - cucurbituril free form,PropLec6A_RSL_AAL,98,89,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.476,2
6T99_A,,31648,Crystal structrue of RSL W31YW76Y lectin mutant in complex with alpha-methylfucoside,PropLec6A_RSL_AAL,99,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.46,2
6T9A_A,,31643,Crystal structrue of RSL W31FW76F lectin mutant in complex with L-fucose,PropLec6A_RSL_AAL,100,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.468,2
6T9B_A,,31652,Crystal structrue of RSL W31A lectin mutant in complex with alpha-methylfucoside,PropLec6A_RSL_AAL,101,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.463,2
6ZUK_A,,31649,Crystal structure of dimethylated RSL-N23H/G68H (RSL-B6) in complex with cucurbit,PropLec6A_RSL_AAL,102,88,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.4,2
6ZUM_A,,31646,Crystal structure of dimethylated RSL-N23H (RSL-B3) in complex with cucurbit,PropLec6A_RSL_AAL,103,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.468,2
7C37_A,,27883,"Chain A, AofleA",PropLec6A_RSL_AAL,105,355,Arthrobotrys,,0,0,,Orbilia oligospora ATCC 24927,Eukaryota,Fungi,Ascomycota,0.213,6
,A0A014L594,50583,Alpha-galactosidase,PropLec7A_PLL,107,740,Streptomyces,,0,0,A0A014L594,Streptomyces sp PRh5,Bacteria,None,Actinobacteria,0.371,2
,A0A014PA86,50589,Uncharacterized protein,PropLec7A_PLL,117,343,Streptomyces,,0,0,A0A060ZCU6,Streptomyces sp PRh5,Bacteria,None,Actinobacteria,0.376,6
EXX59527,A0A015IQP5,32047,Uncharacterized protein,PropLec6B_tectonin,118,289,Rhizophagus,JEMT01026393.1,9751,10996,A0A2H5T5C9,Rhizophagus irregularis strain DAOM 197198w,Eukaryota,Fungi,Mucoromycota,0.464,5
,A0A022MHF2,50043,Uncharacterized protein (Fragment),PropLec6B_tectonin,129,152,Streptomyces,,0,0,A0A022MHF2,Streptomyces sp Tu 6176,Bacteria,None,Actinobacteria,0.634,4
,A0A022MHF7,50033,Uncharacterized protein (Fragment),PropLec6B_tectonin,130,108,Streptomyces,,0,0,A0A022MHF7,Streptomyces sp Tu 6176,Bacteria,None,Actinobacteria,0.493,3
,A0A022PHN6,29353,Uncharacterized protein,PropLec7A_PLL,135,374,Photorhabdus,,0,0,A0A022PHN6,Photorhabdus luminescens BA1,Bacteria,None,Proteobacteria,0.763,7
,A0A022PJ12,29356,Bulb-type lectin domain-containing protein,PropLec7A_PLL,136,371,Photorhabdus,,0,0,A0A022PJ12,Photorhabdus luminescens BA1,Bacteria,None,Proteobacteria,0.76,7
,A0A022PJ16,29352,Uncharacterized protein,PropLec7A_PLL,137,369,Photorhabdus,,0,0,A0A1B8YIL8,Photorhabdus luminescens BA1,Bacteria,None,Proteobacteria,0.776,7
,A0A022PJH6,29355,Uncharacterized protein,PropLec7A_PLL,138,372,Photorhabdus,,0,0,A0A2S8QWH6,Photorhabdus luminescens BA1,Bacteria,None,Proteobacteria,0.815,7
,A0A022PL25,29357,SRCR domain-containing protein,PropLec7A_PLL,139,180,Photorhabdus,,0,0,A0A022PL25,Photorhabdus luminescens BA1,Bacteria,None,Proteobacteria,0.737,3
,A0A022PM96,29354,Uncharacterized protein,PropLec7A_PLL,140,371,Photorhabdus,,0,0,Q7N8I8,Photorhabdus luminescens BA1,Bacteria,None,Proteobacteria,0.804,7
XP_003236267,A0A022VXX4,52927,Fucose-specific lectin,PropLec6A_RSL_AAL,141,337,Trichophyton,NW_003456426.1,1563629,1565016,A0A2P2EKN8,Trichophyton rubrum CBS 28886,Eukaryota,Fungi,Ascomycota,0.33,6
,A0A022XP20,52929,Fucose-specific lectin,PropLec6A_RSL_AAL,142,337,Trichophyton,,0,0,A0A2P2EKN8,Trichophyton soudanense CBS 45261,Eukaryota,Fungi,Ascomycota,0.33,6
EZF77804,A0A022Y4S9,52928,Uncharacterized protein,PropLec7A_PLL,143,354,Trichophyton,KK208741.1,128687,129751,E5R252,Trichophyton soudanense CBS 45261,Eukaryota,Fungi,Ascomycota,0.412,8
WP_083435326,A0A024GZ92,31092,Putative peptidoglycan binding domain protein,PropLec7A_PLL,147,686,Pseudarthrobacter,NZ_CAQI01000032.1,33316,35376,A0A024GZ92,Pseudarthrobacter siccitolerans,Bacteria,None,Actinobacteria,0.66,7
,A0A024YHI7,49658,Uncharacterized protein,PropLec7A_PLL,149,581,Streptomyces,,0,0,A0A024YHI7,Streptomyces sp PCS3D2,Bacteria,None,Actinobacteria,0.404,7
,A0A024YIW6,49668,Peptidase M23,PropLec7A_PLL,150,529,Streptomyces,,0,0,A0A024YIW6,Streptomyces sp PCS3D2,Bacteria,None,Actinobacteria,0.441,7
,A0A024YMC4,49689,Glycosyl hydrolase family 32,PropLec7A_PLL,151,676,Streptomyces,,0,0,A0A024YMC4,Streptomyces sp PCS3D2,Bacteria,None,Actinobacteria,0.391,7
EZP26070,A0A031FR12,19857,FG-GAP repeat domain-containing protein,PropLec7B_PVL,155,769,Microbacterium,JFYO01000007.1,143283,145592,A0A031FR12,Microbacterium oleivorans,Bacteria,None,Actinobacteria,0.564,7
WP_200872976,A0A031H0I9,15425,Taurine transporter substrate binding subunit,PropLec7A_PLL,156,765,Janthinobacterium,NZ_JFYR01000001.1,477318,479615,A0A031H0I9,Janthinobacterium lividum,Bacteria,None,Proteobacteria,0.292,7
WP_035144261,A0A037ZC64,10033,Uncharacterized protein,PropLec7A_PLL,160,304,Clostridium,NZ_APJS01000002.1,80904,81818,A0A037ZC64,Clostridium tetanomorphum DSM 665,Bacteria,None,Firmicutes,0.606,6
EZF34283,A0A059J8G9,52923,Fucose-specific lectin,PropLec6A_RSL_AAL,162,337,Trichophyton,KK204373.1,24775,26157,A0A2P2EKN8,Trichophyton interdigitale strain MR816,Eukaryota,Fungi,Ascomycota,0.339,6
EZF32831,A0A059JHY2,52922,Uncharacterized protein,PropLec7A_PLL,163,354,Trichophyton,KK204522.1,17472,18536,E5R252,Trichophyton interdigitale strain MR816,Eukaryota,Fungi,Ascomycota,0.394,8
WP_148312581,A0A059VWR0,36332,Tectonin 1,PropLec6B_tectonin,164,205,Streptomyces,NZ_CP007574.1,998044,998661,,Streptomyces albulus,Bacteria,None,Actinobacteria,0.12,2
WP_037633353,A0A059WBU0,36319,Beta-propeller repeat TECPR,PropLec6B_tectonin,166,232,Streptomyces,NZ_AROY02000036.1,108170,108868,A0A059WBU0,Streptomyces albulus,Bacteria,None,Actinobacteria,0.54,6
AIA16982,A0A059WXZ6,55574,Uncharacterized protein (Fragment),PropLec7A_PLL,168,159,None,KJ695385.1,1767,2248,A0A059WXZ6,uncultured bacterium,Bacteria,None,None,0.337,3
CDR02628,A0A060ZCU6,38906,Glycoside hydrolase clan GH-D,PropLec7A_PLL,177,343,Streptomyces,LK022848.1,833671,834702,A0A060ZCU6,Streptomyces iranensis,Bacteria,None,Actinobacteria,0.368,5
CDR05905,A0A060ZIJ5,38909,Alpha-galactosidase,PropLec7A_PLL,178,729,Streptomyces,LK022848.1,3560114,3562303,A0A2K8R1F3,Streptomyces iranensis,Bacteria,None,Actinobacteria,0.337,3
CDR10243,A0A061A2V9,38908,Glycosyl hydrolase family 32 domain-containingprotein,PropLec7A_PLL,181,367,Streptomyces,LK022848.1,8228236,8229339,A0A3L8RGZ4,Streptomyces iranensis,Bacteria,None,Actinobacteria,0.554,7
CDR18964,A0A061A780,27739,Uncharacterized protein,PropLec6B_tectonin,182,201,Oncorhynchus,FR981365.1,302,1378,A0A061A780,Oncorhynchus mykiss,Eukaryota,Metazoa,Chordata,0.269,3
CDR19012,A0A061A7D1,27740,Uncharacterized protein,PropLec6B_tectonin,183,209,Oncorhynchus,FR981943.1,290,1365,A0A061A7D1,Oncorhynchus mykiss,Eukaryota,Metazoa,Chordata,0.271,3
CDR18051,A0A061AC93,27741,Uncharacterized protein,PropLec6B_tectonin,185,97,Oncorhynchus,FR974466.1,1666,2075,A0A1S3RK19,Oncorhynchus mykiss,Eukaryota,Metazoa,Chordata,0.386,1
WP_051584103,A0A061SQG8,52089,Uncharacterized protein,PropLec7B_PVL,188,1361,Sulfitobacter,NZ_JEMU01000007.1,7318,11403,A0A061SQG8,Sulfitobacter mediterraneus,Bacteria,None,Proteobacteria,0.439,6
WP_051652640,A0A066Z228,15882,Uncharacterized protein,PropLec7A_PLL,216,513,Kitasatospora,NZ_KK853997.1,500235,501776,A0A066Z228,Kitasatospora cheerisanensis KCTC 2395,Bacteria,None,Actinobacteria,0.415,6
KDN87414,A0A066Z588,15887,Non-reducing end alpha-L-arabinofuranosidase,PropLec7A_PLL,217,737,Kitasatospora,JNBY01000035.1,23907,26120,A0A066Z588,Kitasatospora cheerisanensis KCTC 2395,Bacteria,None,Actinobacteria,0.394,4
KDQ32502,A0A067P7U0,30255,Fucose-specific lectin,PropLec6A_RSL_AAL,251,458,Pleurotus,KL198004.1,128465,129994,A0A067P7U0,Pleurotus ostreatus PC15,Eukaryota,Fungi,Basidiomycota,0.313,6
KDQ62187,A0A067QFA0,15406,Fucose-specific lectin,PropLec6A_RSL_AAL,253,597,Jaapia,KL197711.1,423754,425736,,Jaapia argillacea MUCL 3364,Eukaryota,Fungi,Basidiomycota,0.273,2
KDR74277,A0A067SW27,13255,Uncharacterized protein,PropLec7B_PVL,265,373,Galerina,KL142383.1,220903,223379,A0A067SW27,Galerina marginata strain CBS 33988,Eukaryota,Fungi,Basidiomycota,0.733,7
KDR71733,A0A067SY86,13250,Uncharacterized protein,PropLec6B_tectonin,266,227,Galerina,KL142391.1,204664,205347,A0A067SY86,Galerina marginata strain CBS 33988,Eukaryota,Fungi,Basidiomycota,0.624,6
KDR71773,A0A067SYC6,13256,Uncharacterized protein,PropLec6B_tectonin,267,227,Galerina,KL142391.1,283699,284382,A0A067SYC6,Galerina marginata strain CBS 33988,Eukaryota,Fungi,Basidiomycota,0.558,6
KDR83047,A0A067TL44,13254,Uncharacterized protein,PropLec7B_PVL,270,403,Galerina,KL142369.1,2001640,2002917,A0A067TL44,Galerina marginata strain CBS 33988,Eukaryota,Fungi,Basidiomycota,0.757,8
CDN51233,A0A068SYG3,26033,Uncharacterized protein,PropLec7B_PVL,281,4476,Neorhizobium,HG938354.1,569188,582618,A0A068SYG3,Neorhizobium galegae bv orientalis str HAMBI 54,Bacteria,None,Proteobacteria,0.396,24
,A0A068YN79,30579,Putative sialidase,PropLec7A_PLL,284,634,Polaromonas,,0,0,A0A068YN79,Polaromonas sp CG912,Bacteria,None,Proteobacteria,0.335,6
WP_034185847,A0A071MLF8,6568,Uncharacterized protein,PropLec7A_PLL,290,1206,Burkholderia,NZ_JJOA01000001.1,380991,384611,A0A103KAM9,Burkholderia cenocepacia,Bacteria,None,Proteobacteria,0.323,4
XP_013264242,A0A072PPH9,12719,Uncharacterized protein,PropLec7A_PLL,291,364,Exophiala,NW_013550586.1,3924770,3925864,A0A072PPH9,Exophiala aquamarina CBS 119918,Eukaryota,Fungi,Ascomycota,0.328,5
KEP48958,A0A074RWD3,32010,Fucose-specific lectin,PropLec6A_RSL_AAL,296,642,Rhizoctonia,AZST01000429.1,20423,22634,A0A074RWD3,Rhizoctonia solani 123E,Eukaryota,Fungi,Basidiomycota,0.264,3
WP_003334411,A0A075RH80,6473,Acylphosphatase,PropLec7A_PLL,298,332,Brevibacillus,NZ_CP007806.1,4691714,4692712,H0U8K7,Brevibacillus laterosporus LMG 15441,Bacteria,None,Firmicutes,0.637,7
WP_148311512,A0A075UUH8,3550,Conserved putative secreted protein,PropLec7A_PLL,300,360,Amycolatopsis,NZ_CP008953.1,3376278,3377360,A0A075UUH8,Amycolatopsis japonica,Bacteria,None,Actinobacteria,0.351,5
,A0A076HNW2,15231,Big_5 domain-containing protein,PropLec7B_PVL,303,337,Hymenobacter,,0,0,,Hymenobacter sp APR13,Bacteria,None,Bacteroidetes,0.34,4
,A0A076HV46,15230,Uncharacterized protein,PropLec7B_PVL,304,2608,Hymenobacter,,0,0,,Hymenobacter sp APR13,Bacteria,None,Bacteroidetes,0.324,15
,A0A081FWM5,19208,Tectonin-2 (Tectonin II),PropLec6B_tectonin,330,287,Marinobacterium,,0,0,A0A081FWM5,Marinobacterium sp AK27,Bacteria,None,Proteobacteria,0.265,2
,A0A084D698,6660,Uncharacterized protein,PropLec7A_PLL,340,1206,Burkholderia,,0,0,A0A103KAM9,Burkholderia sp MSh2,Bacteria,None,Proteobacteria,0.292,4
,A0A084FXQ3,31081,Sialidase,PropLec7A_PLL,341,325,Scedosporium,,0,0,A0A084FXQ3,Pseudallescheria apiosperma,Eukaryota,Fungi,Ascomycota,0.354,3
,A0A084FYP2,31080,Fucose-specific lectin,PropLec6A_RSL_AAL,342,369,Scedosporium,,0,0,A0A084FYP2,Pseudallescheria apiosperma,Eukaryota,Fungi,Ascomycota,0.487,6
,A0A085EWH6,6235,Animal hem peroxidase,PropLec7B_PVL,348,4390,Bosea,,0,0,A0A085EWH6,Bosea sp LC85,Bacteria,None,Proteobacteria,0.488,6
KFE58933,A0A085VU20,15065,Uncharacterized protein,PropLec6A_RSL_AAL,350,159,Hyalangium,JMCB01000034.1,123704,124183,A0A085VU20,Hyalangium minutum,Bacteria,None,Proteobacteria,0.26,3
WP_044187010,A0A085WPM8,15060,Putative sialidase,PropLec7A_PLL,353,90,Hyalangium,NZ_JMCB01000004.1,452872,453144,A0A085WPM8,Hyalangium minutum,Bacteria,None,Proteobacteria,0.313,2
KFE72084,A0A085WWM1,15061,Uncharacterized protein,PropLec7B_PVL,354,756,Hyalangium,JMCB01000001.1,454570,456840,A0A085WWM1,Hyalangium minutum,Bacteria,None,Proteobacteria,0.613,7
WP_035628646,A0A085ZH05,12914,Uncharacterized protein,PropLec6B_tectonin,355,934,Flavobacterium,NZ_JPRM01000057.1,33683,36487,,Flavobacterium hydatis,Bacteria,None,Bacteroidetes,0.186,8
KFF99256,A0A086GV39,40791,ZnMc domain-containing protein (Fragment),PropLec7A_PLL,366,359,Streptomyces,JPPX01000126.1,20094,21170,A0A086GV39,Streptomyces scabiei,Bacteria,None,Actinobacteria,0.438,2
,A0A087NTW2,6624,Fucose-binding lectin protein,PropLec6A_RSL_AAL,393,87,Burkholderia,,0,0,Q0B4G1,Burkholderia pyrrocinia,Bacteria,None,Proteobacteria,0.446,2
,A0A087XBT0,30467,Uncharacterized protein,PropLec6B_tectonin,411,269,Poecilia,,0,0,A0A3B3TYK6,Poecilia formosa,Eukaryota,Metazoa,Chordata,0.297,4
,A0A087XU86,30472,Uncharacterized protein,PropLec6B_tectonin,412,264,Poecilia,,0,0,A0A087XU86,Poecilia formosa,Eukaryota,Metazoa,Chordata,0.235,4
BAP56289,A0A090AGH5,52660,Beta-propeller repeat TECPR,PropLec6B_tectonin,429,236,Thioploca,AP014633.1,2409949,2410659,A0A090AGH5,Thioploca ingrica,Bacteria,None,Proteobacteria,0.344,6
CDX25311,A0A090EC19,19519,Uncharacterized protein,PropLec7A_PLL,430,436,Mesorhizobium,CCMZ01000050.1,33796,35106,A0A090EC19,Mesorhizobium plurifarium,Bacteria,None,Proteobacteria,0.201,6
,A0A093XNX9,31215,Fucose-specific lectin,PropLec6A_RSL_AAL,564,314,Pseudogymnoascus,,0,0,A0A094CDZ1,Pseudogymnoascus sp VKM F3557,Eukaryota,Fungi,Ascomycota,0.425,6
,A0A094A5A1,31216,Fucose-specific lectin,PropLec6A_RSL_AAL,566,263,Pseudogymnoascus,,0,0,A0A094A5A1,Pseudogymnoascus sp VKM F4281 FW2241,Eukaryota,Fungi,Ascomycota,0.34,4
,A0A094C7K7,31208,Fucose-specific lectin,PropLec6A_RSL_AAL,567,1032,Pseudogymnoascus,,0,0,A0A094C7K7,Pseudogymnoascus sp VKM F4515 FW267,Eukaryota,Fungi,Ascomycota,0.422,6
,A0A094CDZ1,31202,Fucose-specific lectin (Fragment),PropLec6A_RSL_AAL,568,283,Pseudogymnoascus,,0,0,A0A094CDZ1,Pseudogymnoascus sp VKM F4516 FW969,Eukaryota,Fungi,Ascomycota,0.421,6
,A0A094DIR0,31209,Uncharacterized protein,PropLec7A_PLL,569,631,Pseudogymnoascus,,0,0,A0A094DIR0,Pseudogymnoascus sp VKM F4515 FW267,Eukaryota,Fungi,Ascomycota,0.212,5
,A0A094DT76,31207,Uncharacterized protein,PropLec7A_PLL,570,341,Pseudogymnoascus,,0,0,A0A094DT76,Pseudogymnoascus sp VKM F4515 FW267,Eukaryota,Fungi,Ascomycota,0.322,3
,A0A094DZQ0,31210,Uncharacterized protein,PropLec7A_PLL,571,379,Pseudogymnoascus,,0,0,A0A094DZQ0,Pseudogymnoascus sp VKM F4515 FW267,Eukaryota,Fungi,Ascomycota,0.421,7
,A0A094EP91,31218,Fucose-specific lectin,PropLec6A_RSL_AAL,572,306,Pseudogymnoascus,,0,0,A0A1B8EWJ1,Pseudogymnoascus sp VKM F13,Eukaryota,Fungi,Ascomycota,0.441,6
,A0A094FZP6,31206,Fucose-specific lectin,PropLec6A_RSL_AAL,573,1014,Pseudogymnoascus,,0,0,A0A094C7K7,Pseudogymnoascus sp VKM F4517 FW2822,Eukaryota,Fungi,Ascomycota,0.402,6
,A0A094G1Y2,31205,Uncharacterized protein,PropLec7A_PLL,574,393,Pseudogymnoascus,,0,0,A0A094DZQ0,Pseudogymnoascus sp VKM F4517 FW2822,Eukaryota,Fungi,Ascomycota,0.473,6
,A0A094GNN0,31212,Fucose-specific lectin,PropLec6A_RSL_AAL,575,408,Pseudogymnoascus,,0,0,A0A094I881,Pseudogymnoascus sp VKM F4518 FW2643,Eukaryota,Fungi,Ascomycota,0.28,6
,A0A094HVH2,31219,Uncharacterized protein,PropLec7A_PLL,576,341,Pseudogymnoascus,,0,0,A0A094DT76,Pseudogymnoascus sp VKM F4519 FW2642,Eukaryota,Fungi,Ascomycota,0.353,3
,A0A094JGY5,31220,Fucose-specific lectin,PropLec6A_RSL_AAL,577,288,Pseudogymnoascus,,0,0,A0A1B8EWJ1,Pseudogymnoascus sp VKM F4519 FW2642,Eukaryota,Fungi,Ascomycota,0.425,6
WP_044223944,A0A098S3C5,29151,Fibronectin type-III domain-containing protein (Fragment),PropLec7B_PVL,597,1209,Phaeodactylibacter,NZ_JPOS01000042.1,1,3630,,Phaeodactylibacter xiamenensis,Bacteria,None,Bacteroidetes,0.304,13
KGE86808,A0A098S4X3,29150,Uncharacterized protein (Fragment),PropLec7B_PVL,598,663,Phaeodactylibacter,JPOS01000054.1,50523,52510,,Phaeodactylibacter xiamenensis,Bacteria,None,Bacteroidetes,0.301,12
WP_035840876,A0A099J2H3,10919,Uncharacterized protein,PropLec7B_PVL,601,122,Cryobacterium,NZ_JACHBQ010000001.1,4054627,4054995,A0A099J2H3,Cryobacterium roopkundense,Bacteria,None,Actinobacteria,0.364,2
WP_033082907,A0A099KP68,10233,Hemolysin-type calcium-binding region protein,PropLec6B_tectonin,602,1357,Colwellia,NZ_JQEC01000040.1,91491,95564,A0A099KP68,Colwellia psychrerythraea,Bacteria,None,Proteobacteria,0.426,4
KGK10056,A0A099LRG3,53609,Uncharacterized protein,PropLec7B_PVL,603,574,Vibrio,JMCG01000001.1,315484,317208,A0A099LRG3,Vibrio navarrensis,Bacteria,None,Proteobacteria,0.353,4
WP_052079590,A0A099LRZ8,53608,Uncharacterized protein,PropLec7B_PVL,604,1571,Vibrio,NZ_JMCG01000001.1,317235,321950,A0A099LRZ8,Vibrio navarrensis,Bacteria,None,Proteobacteria,0.349,3
,A0A099S9L0,9989,Sialidase,PropLec7A_PLL,605,442,Clostridium,,0,0,A0A099S9L0,Clostridium sp HMP27,Bacteria,None,Firmicutes,0.547,6
WP_034624985,A0A0A0BBS5,8151,Uncharacterized protein,PropLec7A_PLL,629,636,Cellulomonas,NZ_AXNT01000010.1,12897,14807,A0A0A0BBS5,Cellulomonas cellasea DSM 2118,Bacteria,None,Actinobacteria,0.329,5
WP_036808425,A0A0A0CSN0,29326,Membrane protein,PropLec7A_PLL,635,374,Photorhabdus,NZ_JQOC01000003.1,361177,362301,A0A2S8QWH6,Photorhabdus luminescens,Bacteria,None,Proteobacteria,0.835,7
WP_036808423,A0A0A0CTM8,29323,Membrane protein,PropLec7A_PLL,636,374,Photorhabdus,NZ_JQOC01000003.1,359565,360689,A0A022PHN6,Photorhabdus luminescens,Bacteria,None,Proteobacteria,0.79,7
WP_036808422,A0A0A0CVL6,29336,Membrane protein,PropLec7A_PLL,637,371,Photorhabdus,NZ_JQOC01000003.1,357824,358939,Q7N8I5,Photorhabdus luminescens,Bacteria,None,Proteobacteria,0.781,7
WP_036808432,A0A0A0CVL8,29332,Membrane protein,PropLec7A_PLL,638,376,Photorhabdus,NZ_JQOC01000003.1,366762,367892,A0A1B8YIL8,Photorhabdus luminescens,Bacteria,None,Proteobacteria,0.782,7
WP_020865830,A0A0A0N8S3,40361,Uncharacterized protein,PropLec7A_PLL,647,343,Streptomyces,NZ_JACHNG010000001.1,953787,954818,A0A060ZCU6,Streptomyces rapamycinicus strain ATCC 29253  DSM 4153  NRRL 5491  AYB994,Bacteria,None,Actinobacteria,0.373,6
WP_020867900,A0A0A0NEI3,40367,Alpha-galactosidase,PropLec7A_PLL,649,729,Streptomyces,NZ_JACHNG010000001.1,3698086,3700275,A0A014L594,Streptomyces rapamycinicus strain ATCC 29253  DSM 4153  NRRL 5491  AYB994,Bacteria,None,Actinobacteria,0.4,2
CEJ93284,A0A0A1TEW5,52737,Uncharacterized protein,PropLec6A_RSL_AAL,651,358,Torrubiella,CDHN01000005.1,1632672,1633748,,Torrubiella hemipterigena,Eukaryota,Fungi,Ascomycota,0.135,4
EUC59349,A0A0A1UJN7,32001,Fucose-specific lectin,PropLec6A_RSL_AAL,653,700,Rhizoctonia,JATN01000321.1,5065803,5068238,A0A074RWD3,Rhizoctonia solani AG3 Rhs1AP,Eukaryota,Fungi,Basidiomycota,0.326,5
